screen_name,followers_count,statuses_count,location,geo_enabled
rupm_singhaniya,2,1,"New Delhi, India",False
swasticon14,0,0,,False
UBWdnK51ZjkRE8c,0,1,,False
mayurhajare10,0,0,,False
irfans995,5,7,,False
zumar_khan11,10,20,,False
DgiekszHale,0,0,,False
GaneshB74665294,0,0,,False
Dogsean2,3,0,,False
CxjxdMmj54LRdAO,1,14,,False
Mosa38741983,2,0,,False
AjaharskAjahar7,1,4,,False
jio_sai,4,0,,False
Vijesh26402872,1,0,,False
LokeshP24444489,1,0,"Faridabad, India",False
shoyeb_khan5,0,0,,False
SaleemMohammod,1,0,,False
Saroj88665156,1,0,,False
DavidKalita10,1,0,,False
Sankara17727304,0,0,,False
deepu91758281,0,0,,False
PravinP68193486,0,0,,False
NirajKu19450111,0,1,,False
Nasserarab9,1,0,,False
BhilBharat6,0,0,,False
ShahnsaAnsari,3,5,"Deoria,India",False
Ajai29703916,0,0,,False
princek57450299,2,4,,False
Dana41264556,8,111,,False
vijai25179149,1,0,,False
daas_dharmendra,0,13,"Indore, India{ Mp}",False
GManojK90055801,0,0,,False
rAgHaV73371239,1,0,,False
SameerS71703212,0,0,Surat Gujarat,False
Jsosjshs2,1,0,,False
JagmalS87906622,1,2,,False
Mallika52809288,1,0,,False
vasurbhaimer,1,3,"Gujarat, India",False
ShaikhJaleel5,2,0,,False
Beinghu37789202,0,0,,False
Spsenpt1,0,0,,False
PratikS47460963,3,0,,False
MayankP71817894,0,0,"Valsad, India",False
mcnrsdxzwl,2,16,,False
NikunjS07484848,1,0,,False
venessalotz5,1,0,,False
Ravigrkumar,1,0,,False
Karan87477777,1,0,,False
sharadk50708300,0,0,,False
AchariaAmar,0,0,,False
Niaz_Ali8664,6,1,Pakistan,False
XalatiX,1,0,,False
Priyank03257733,0,0,,False
AmitKum05261656,0,0,,False
AasheeshPathar1,0,0,"Itarsi, India",False
Reena29933350,0,0,,True
GeethanjaliS,0,0,,False
Pratiks79202602,0,0,,False
SanePramod,0,0,,False
agha_waris,0,1,,False
munyard5741ql,1,0,,False
Neeraj71958601,0,0,,False
Akashkumarjang4,1,1,,False
Pritesh78613064,1,2,,False
FarukhHussan,0,0,,False
VeerpalGautam13,0,0,,False
TejeshSheetal,1,26,"Bhosari, Haveli",False
esotoruiz1,10,1,,False
Abhishe23261597,0,0,,False
Palash51186115,1,0,,False
buttsaad035,706,68,"New Jersey, USA",False
Aayush_707,1,0,,False
Madagucharles1,0,0,,False
sj414150,1,0,,False
RajKuma11113531,3,0,"Gujarat, India",False
Arifimaan2,0,0,,False
RajKuma58152133,1,0,,False
VamsiKu37899010,0,0,,False
GauravG59981208,1,1,,False
DcJA7rF2CttXZxT,0,0,,False
Nilesh44754205,0,1,,False
Mohamed66328207,0,0,,False
addyvasava,15,19,,False
narimani_armine,0,0,,False
rubyesoon4,1,0,,False
Ravik23091992,0,0,,False
Avinash00550155,0,3,,False
pritamkashyap0,0,10,,False
MSDHONIKiruba1,0,3,,False
Smthng_specl,11,2,"DELHI, BHILWARA",False
KaliRamHansda,1,0,,False
actorsawai,0,6,"Jodhpur, India",False
dagar_rajpal,1,0,,False
Vaishal64757277,1,0,"Dehradun, India",False
pareek_mardul,0,1,"Jaipur, India",False
NsuiSaket,1,5,BEGUSARAI BIHAR (INDIA),False
RabbaniKaosar,0,0,,False
Lusory9,2,3,,False
DineshK49098154,0,0,,False
tariqkeeloo,0,0,,False
princesurana5,32,32,"bengaluru,india",False
Saif09632153,1,0,,False
Abhijit37511082,0,1,Bongaon,False
elishaisaj4,0,0,,False
eveliasanders13,0,0,,False
